id,事件描述,事件需求,成功,成功效果,失败,失败效果
501,不知道从哪里飞来一块小石头,敏捷判定,你轻松地躲了过去,敏捷+2,你没来得及躲开,武德-1
502,一辆AE86冲了过来,敏捷判定-20,你一个腰子翻身躲过,敏捷+7,De javu（交通事故）,武德-4
503,黑色轿车上下来了三个暗杀兵,敏捷判定-40,什么吗，我打的还是挺准的,金币+1200，敏捷+5,不要停下来啊,武德清空并入院
504,你找到了一个搬重物的临时工作,力量判定,你出色地完成了工作,金币+300,搬不动的你只能划水,金币+100
505,被人抢劫了,力量判定-20,那人不如你健壮，还给了你一些东西求饶,获得10回合以下装备,技不如人，只能乖乖交钱,金币-300
506,几个普通人打得过一个秦森？,力量判定-40,你大概可以打十个,力量+7，体质+4,显然一个你不够,武德-2，入院
507,你尝试处理一段代码中的一个问题,智力判定,这个问题成功被修复了,智力+2,运行时报了更多的错误,金币-100
508,一个教徒试图说服你加入飞天意面神教,智力判定-20,你只觉得意面好吃,体质+4，智力+4,你敬仰起了飞天意面,金币-400
509,【难题】机器学习,智力判定-40,你比机器学的快,智力+7，获得大装备箱（314）,准确率20%（悲）,跳过一回合
510,今天的晚饭是华菜土,体质判定,鸡盒香香,体质+2,大 喷 射,体质-2
,尝试跑长跑,体质判定-20,你支持到了终点,体质+3，金币+900,希 望 之 花,武德-2
,对手雇人将你暴打一顿,体质判定-40,所有无法杀死我的，都将使我更强大,体质+13,满身疮痍,武德清空并入院
511,你得到了一个奇怪的灯,幸运判定,里面装着一些药,获得大力（304）,只是一个普通的灯,##
512,你得到了一个奇怪的灯,幸运判定-10,里面装着看上去可以吃的东西,获得力量食物（317）,只是一个普通的灯,##
513,你得到了一个奇怪的灯,幸运判定-10,里面装着看上去可以吃的东西,获得敏捷食物（317）,只是一个普通的灯,##
514,你得到了一个奇怪的灯,幸运判定-10,里面装着看上去可以吃的东西,获得智力食物（317）,只是一个普通的灯,##
515,你得到了一个奇怪的灯,幸运判定-10,里面装着看上去可以吃的东西,获得体质食物（317）,只是一个普通的灯,##
516,你得到了一个奇怪的灯,幸运判定-30,里面真的住着灯神,获得随机2个道具,只是一个普通的灯,##
