ID,名称,力量,敏捷,智力,体质,幸运,武德,价格,限制回合,效果,描述
201,树枝,1,1,1,0,0,0,100,1,,普通的树枝，少许增加能力
202,铁锤,3,0,0,0,0,0,300,1,,小锤五十，大锤八十
203,草鞋,0,3,0,0,0,0,300,1,,并不能让你跑的更快
204,挂件,0,0,3,0,0,0,300,1,,无用“挂件”
205,兔脚,0,1,0,0,2,0,520,1,,兔脚一直是好运象征
206,剩饭,1,0,0,3,0,0,520,1,,吃剩的苹果核能提供持续的回复
207,松果,0,1,0,0,0,1,520,1,,没有痰豆了，和闪电鞭也没有联动
208,【施工现场】,3,0,0,0,0,0,1000,1,对你决斗的人成功率减少5%,路障还是可以挡路的
209,幸运硬币,0,1,0,0,2,0,1000,1,获得金钱增加5%,好运/财源滚滚来
210,迷惑烟雾,0,0,2,2,0,0,1000,1,过路费减少5%,【烟雾弹】你看不见我
211,球形闪电,7,7,7,7,0,1,2250,10,,聚光灯呢，往这儿打！
212,均分协议,2,3,4,3,0,1,2560,10,你的地块的基础过路费变为你所有地块的平均值,万物平等，钱也是
213,混元形意功,2,2,0,3,0,2,2500,10,若对你发起决斗的人武德小于你，判定时力量-10；决斗你需要耗费2武德,他说我这个没用（指武德），我说我有用
214,闪电鞭,5,2,0,3,0,2,2770,10,当有人与你在同一格中时，你的回合开始时用力量/2.5进行5次判定，每成功一次从对方那里获得200金币（不受智力加成）,我们加强了闪电五连鞭，使其更具有攻击性
215,工程集群,6,3,4,2,1,1,3500,10,当你购买地块时获得一级建筑，一级建筑的效果为成功值*0.8,我们称之为高效（还有坚固）
216,众神眷护,5,5,5,0,12,0,4000,10,负面事件减弱20%，移除中立事件的负面效果,程序员的加护（笑）
217,破拆装置,7,0,2,2,0,2,4000,10,决斗时对方敏捷的影响减少（从1/200变为1/300）,究极的暴力对抗究极的技术
218,塑性玻璃,10,10,10,10,10,4,600,1,每回合开始对最高属性进行一次判定，若失败则失去该装备,轻拿轻放
219,洛阳铲,1,1,1,1,3,0,750,1,每经过一次出发点获得一个道具,好宝我挖
