ID,性质,描述,A选项描述,A结果描述,A效果,B描述,B结果描述,B效果
401,1,虽然你什么都没有掉下去，但是河神还是给了你两个选择,选金色的,获得700金币,获得700金币,选银色的,,获得随机道具
402,1,你是商店的第99个客户，老板要送你一些东西,恭敬不如从命,获得随机装备,获得随机装备,恭敬不如从命,,获得随机道具
403,1,你在马路边看到一个皮夹,我寻思也没人要,获得1200金币,获得1200金币,交给警察叔叔,,力敏智体幸运+3
404,1,你在许久未穿的大衣里摸出了100块,意外之喜,获得100金币,获得100金币,意外之喜,,获得100金币
405,1,有人在兜售奇怪的饮料,可以试试（金币-100）,你的力量提升了,力量+2,算了算了,无事发生,##
406,1,有人在兜售奇怪的饮料,可以试试（金币-100）,你的敏捷提升了,敏捷+2,算了算了,无事发生,##
407,1,有人在兜售奇怪的饮料,可以试试（金币-100）,你的智力提升了,智力+2,算了算了,无事发生,##
408,3,有人在兜售奇怪的饮料,可以试试（金币-100）,呕。。,力量-1,算了算了,无事发生,##
409,3,有人在兜售奇怪的饮料,可以试试（金币-100）,呕。。,敏捷-1,算了算了,无事发生,##
410,3,有人在兜售奇怪的饮料,可以试试（金币-100）,呕。。,智力-1,算了算了,无事发生,##
411,1,遇上了一家知名饭店,久违地吃一顿好的（金币-500）,武德恢复满，全属性+4,武德恢复满，全属性+4,不了，省点钱,无事发生,##
412,1,遇上了一家知名饭店,久违地吃一顿好的（金币-500）,力量+4,力量+4,不了，省点钱,无事发生,##
413,1,遇上了一家知名饭店,久违地吃一顿好的（金币-500）,敏捷+4,敏捷+4,不了，省点钱,无事发生,##
414,1,遇上了一家知名饭店,久违地吃一顿好的（金币-500）,智力+4,智力+4,不了，省点钱,无事发生,##
415,2,遇上了一家知名饭店,久违地吃一顿好的（金币-500）,然而饭店名不符实,体质+1,不了，省点钱,无事发生,##
416,3,遇上了一家知名饭店,久违地吃一顿好的（金币-500）,甚至还撞上了雷,力敏智-1,不了，省点钱,无事发生,##
417,3,遇上了一家知名饭店,久违地吃一顿好的（金币-500）,你想投诉，被店家打了一顿,武德-2,不了，省点钱,无事发生,##
418,1,一个流浪汉神秘兮兮的要卖给你东西,买，都可以买（金币-300）,幸运+4,幸运+4,不了不了,无事发生,##
419,1,一个流浪汉神秘兮兮的要卖给你东西,买，都可以买（金币-300）,力量+3,力量+3,不了不了,无事发生,##
420,1,一个流浪汉神秘兮兮的要卖给你东西,买，都可以买（金币-300）,敏捷+3,敏捷+3,不了不了,无事发生,##
421,1,一个流浪汉神秘兮兮的要卖给你东西,买，都可以买（金币-300）,智力+3,智力+3,不了不了,无事发生,##
422,1,一个流浪汉神秘兮兮的要卖给你东西,买，都可以买（金币-300）,获得随机10回合以下装备,获得随机10回合以下装备,不了不了,无事发生,##
423,1,一个流浪汉神秘兮兮的要卖给你东西,买，都可以买（金币-300）,获得随机道具,获得随机道具,不了不了,无事发生,##
424,2,一个流浪汉神秘兮兮的要卖给你东西,买，都可以买（金币-300）,然而东西很一般,力量+1,不了不了,无事发生,##
425,2,一个流浪汉神秘兮兮的要卖给你东西,买，都可以买（金币-300）,然而东西很一般,敏捷+1,不了不了,无事发生,##
426,2,一个流浪汉神秘兮兮的要卖给你东西,买，都可以买（金币-300）,然而东西很一般,智力+1,不了不了,无事发生,##
427,3,一个流浪汉神秘兮兮的要卖给你东西,买，都可以买（金币-300）,一堆垃圾,##,不了不了,无事发生,##
428,3,一个流浪汉神秘兮兮的要卖给你东西,买，都可以买（金币-300）,一堆垃圾,##,不了不了,无事发生,##
429,3,一个流浪汉神秘兮兮的要卖给你东西,买，都可以买（金币-300）,一堆垃圾,##,不了不了,无事发生,##
430,1,你阅读了一本好书,我逐渐理解一切,,智力+4,这书可以拿来卖钱,,金币+200
